train/loss,train/explained_variance,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/n_updates,train/approx_kl,episode/mean_reward_10,train/clip_fraction,time/total_timesteps,episode/reward,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_rew_mean,evaluation/improvement_vs_baseline,train/value_loss,eval/reward_improvement_pct,eval/waiting_improvement_pct,eval/best_mean_reward,eval/mean_reward,eval/rl_avg_waiting,eval/mean_ep_length,eval/rl_reward,eval/throughput_improvement_pct,eval/rl_avg_throughput
5.251612663269043,0.18069028854370117,10,-4.804313443601131,-0.010624674541759305,0.2,80.0,72,0.011107825,47.93015859999999,0.049560546875,5120,49.001587,2045,0.0005,2,48.09846228125,6.204276582723716,16.396725356578827,,,,,,,,,
-0.18138279020786285,0.9968787431716919,,-4.329166695475578,-0.016007521233404987,0.2,,152,0.016715676,52.9730157,0.188720703125,10000,53.430159,,0.0005,,,17.378305750562788,0.18228681827895343,4.26456105796293,0,47.05476190476192,63.001587,0.0,80.0,47.05476190476192,0,0.0
,,20,,,,80.0,,,53.267301499999995,,10240,53.701587,4196,,2,49.697444399999995,18.030388101435037,,,,,,,,,,
-0.12094306200742722,0.998039960861206,30,-3.185239091515541,-0.015005360946815927,0.2,80.0,232,0.012750527,57.98158729999999,0.167236328125,15360,59.330159,6263,0.0005,2,54.580444390000004,28.476364656021406,0.12141017790418118,,,,,,,,,
-0.10364441573619843,0.9990876317024231,,-2.0122443810105324,-0.010296072097844444,0.2,,312,0.0136755835,61.2473016,0.12451171875,20000,61.330159,,0.0005,,,35.71257740574006,0.054669584409566596,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
,,40,,,,80.0,,,61.1373017,,20480,60.730159,8473,,2,58.95201585999999,35.46883817881266,,,,,,,,,,
-0.0873127356171608,0.9995521903038025,50,-1.5647623036056757,-0.008390935036004521,0.2,80.0,392,0.013759531,61.517301599999996,0.15087890625,25600,61.715873,10573,0.0005,2,61.11973018,36.310846961170554,0.03377869617543183,,,,,,,,,
-0.09133516252040863,0.9996472597122192,,-1.3880702704191208,-0.020164667832432315,0.2,,464,0.015195418,61.824444400000004,0.129150390625,30000,61.801587,,0.0005,,,36.99141802194716,0.05914137890795246,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
-0.05070539563894272,0.9996137619018555,60,-1.3908939491957426,-0.0026186797476839274,0.2,80.0,472,0.0025841482,62.0244445,0.02685546875,30720,61.715873,12794,0.0005,2,61.628730139999995,37.4345808771807,0.03815935080638155,,,,,,,,,
-0.0525798499584198,0.9996112585067749,70,-1.0792652927339077,-0.0038736986025469378,0.2,80.0,552,0.0029118343,62.3730159,0.0244140625,35840,62.55873,14901,0.0005,2,62.04030157999998,38.20694997537991,0.03403749372228049,,,,,,,,,
-0.042094871401786804,0.9997876286506653,,-0.8497757455334067,-0.006043745233910158,0.2,,624,0.003284147,62.4715874,0.037109375,40000,62.530159,,0.0005,,,38.42536600309515,0.04739318539213855,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
-0.028071630746126175,0.9994906783103943,80,-0.8053479893133044,-0.0032397691975347698,0.2,80.0,632,0.0014883692,62.6258731,0.023681640625,40960,62.887302,17137,0.0005,2,62.416587310000004,38.76723428882954,0.0639687211078126,,,,,,,,,
-0.016626626253128052,0.9997339248657227,90,-0.8375571351498365,-0.0033009882899932563,0.2,80.0,712,0.004847621,62.593016,0.047607421875,46080,62.230159,19241,0.0005,2,62.56758731,38.69442909397867,0.06806621847499628,,,,,,,,,
-0.02789219841361046,0.999713659286499,,-0.9107994539663196,-0.004807195029570721,0.2,,776,0.007951764,62.61587320000001,0.06103515625,50000,62.687302,,0.0005,,,38.74507637872827,0.06458539330924395,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
-0.035498909652233124,0.99967360496521,100,-0.9523612316697836,-0.005155380262294784,0.2,80.0,792,0.0058607627,62.493016,0.082275390625,51200,62.573016,21465,0.0005,2,62.54587302000001,38.47284777715255,0.06320843235880602,,,,,,,,,
-0.007931334897875786,0.9997313022613525,110,-0.9412005040794611,0.0006110950489528477,0.2,80.0,872,0.0062660053,62.443015700000004,0.072265625,56320,62.544444,23572,0.0005,2,62.50430158,38.362056453995564,0.035758991216425784,,,,,,,,,
-0.03237287327647209,0.9997342228889465,,-0.908188839443028,-0.0026002867525676265,0.2,,936,0.0018750678,62.2587302,0.010986328125,60000,62.301587,,0.0005,,,37.95371421637598,0.06705414212774485,1.7005486775464782,0,,61.501587,0.0,80.0,45.89761904761905,0,0.0
-0.03140120580792427,0.9997061491012573,120,-0.93969920091331,-0.007442587586410809,0.2,80.0,952,0.012324253,62.34015850000001,0.03466796875,61440,62.301587,25797,0.0005,2,62.401730119999996,38.134144115785105,0.061795276298653334,,,,,,,,,
